Model,Total Time,Achieved FPS,Avg Inference Time(sec/frame),Avg Power Consumption,Device,FP
Mobilenetv3,121.09,0.99,0.014,2183.24,GPU,FP32
Mobilenetv3,12.8,9.37,0.0063,2404.04,GPU,FP32
Mobilenetv3,4.45,26.99,0.0061,2844,GPU,FP32
Mobilenetv3,2.52,47.65,0.0055,3546.39,GPU,FP32
Mobilenetv3,1.46,82.24,0.0056,4052.03,GPU,FP32
Mobilenetv3,1.03,116.4,0.0058,3427,GPU,FP32
Mobilenetv3,0.68,156.78,0.004,3002,GPU,FP32
Mobilenetv3,0.63,189.02,0.0037,3043,GPU,FP32
Mobilenetv3,120.86,0.99,0.0132,2156.74,GPU,FP16
Mobilenetv3,12.81,9.37,0.0071,2401.32,GPU,FP16
Mobilenetv3,4.42,27.16,0.0067,2828.33,GPU,FP16
Mobilenetv3,2.41,49.7,0.0059,3493.78,GPU,FP16
Mobilenetv3,1.51,79.68,0.006,4079.4,GPU,FP16
Mobilenetv3,1.05,114.34,0.0065,3416.73,GPU,FP16
Mobilenetv3,0.69,172.98,0.0043,3083,GPU,FP16
Resnet18,120.97,0.99,0.0116,2349.29,GPU,FP16
Resnet18,12.69,9.45,0.0052,2774.09,GPU,FP16
Resnet18,4.17,28.8,0.0023,4098.12,GPU,FP16
Resnet18,2.25,53.3,0.0024,5239.49,GPU,FP16
Resnet18,1.44,83.19,0.0036,5464.02,GPU,FP16
Resnet18,1.19,100.71,0.0049,5430.38,GPU,FP16
Resnet18,1.21,98.87,0.0074,4284.39,GPU,FP16
Resnet18,1.2,100.11,0.0078,4406.93,GPU,FP16
Resnet18,120.28,1,0.0087,2821.32,GPU,FP32
Resnet18,12.18,9.85,0.0023,4226.65,GPU,FP32
Resnet18,4.32,27.75,0.0024,6139.79,GPU,FP32
Resnet18,2.38,50.45,0.0033,8695.66,GPU,FP32
Resnet18,1.88,63.8,0.0083,9008.48,GPU,FP32
Resnet50,120.29,1,0.0103,2863.31,GPU,FP32
Resnet50,12.24,9.81,0.0043,5995.03,GPU,FP32
Resnet50,6.25,19.19,0.042,8502.98,GPU,FP32
Resnet50,6.27,19.14,0.0485,8665.96,GPU,FP32
Resnet50,120.29,1,0.0098,2868.08,GPU,FP16
Resnet50,12.19,9.85,0.0035,4624.33,GPU,FP16
Resnet50,4.17,28.77,0.0032,6389.31,GPU,FP16
Resnet50,3.39,35.37,0.0246,6833.27,GPU,FP16
Resnet50,3.4,35.32,0.0254,6838.55,GPU,FP16
Resnext50x32,120.28,1,0.02,3133.45,GPU,FP16
Resnext50x32,12.34,9.73,0.0239,5569.23,GPU,FP16
Resnext50x32,6.22,19.28,0.0503,6851.04,GPU,FP16
Resnext50x32,120.28,1,0.0166,2478.89,GPU,FP32
Resnext50x32,12.24,9.8,0.0186,6192.48,GPU,FP32
Resnext50x32,9.77,12.28,0.0795,7311.84,GPU,FP32
Resnext50x32,9.76,12.3,0.0799,7208.65,GPU,FP32
Squeezenet,120.28,1,0.0023,2559.03,GPU,FP32
Squeezenet,12.17,9.86,0.0023,2873.72,GPU,FP32
Squeezenet,4.3,27.9,0.0031,3365.03,GPU,FP32
Squeezenet,2.34,51.38,0.0029,4023.63,GPU,FP32
Squeezenet,1.37,87.79,0.0031,4178.33,GPU,FP32
Squeezenet,0.91,132.06,0.0039,3397,GPU,FP32
Squeezenet,0.71,169.97,0.0044,3403,GPU,FP32
Squeezenet,120.28,1,0.0023,2480.68,GPU,FP16
Squeezenet,12.21,9.82,0.0024,2700.28,GPU,FP16
Squeezenet,4.24,28.3,0.0024,3180.68,GPU,FP16
Squeezenet,2.34,51.38,0.0029,3512.1,GPU,FP16
Squeezenet,1.36,88.2,0.0032,3704.38,GPU,FP16
Squeezenet,0.91,132.1,0.0034,3316,GPU,FP16
Squeezenet,0.79,151.31,0.0048,3357,GPU,FP16
Squeezenet,0.51,233.75,0.0026,3316,GPU,FP16
Squeezenet,120.17,0.5,0.188,2301.15,CPU,FP32
,60.12,1,0.1843,2320.62,,
,40.1,1.5,0.1869,3056.18,,
,30.15,1.99,0.2531,4166.03,,
