Model',FPS ',Device',Avg_CPU_temp','Avg_GPU_temp','Avg_Power_CPU','Avg_Power_GPU','Avg_CPU_RAM'
Resnet18,1,GPU,33.64728682,32.78682171,840.5968992,840.5968992,0.42365993
Resnet18,2,GPU,,,,,
Resnet18,3,GPU,,,,,
Resnet18,4,GPU,,,,,
Resnet18,5,GPU,,,,,
Resnet18,6,GPU,,,,,
Resnet18,7,GPU,,,,,
Resnet18,8,GPU,,,,,
Resnet18,9,GPU,,,,,
Resnet18,10,GPU,,,,,
Resnet50,1,GPU,,,,,
Resnet50,2,GPU,,,,,
Resnet50,3,GPU,,,,,
Resnet50,4,GPU,,,,,
Resnet50,5,GPU,,,,,
Resnet50,6,GPU,,,,,
Resnet50,7,GPU,,,,,
Resnet50,8,GPU,,,,,
Resnet50,9,GPU,,,,,
Resnet50,10,GPU,,,,,
Squeezenet,1,GPU,,,,,
Squeezenet,2,GPU,,,,,
Squeezenet,3,GPU,,,,,
Squeezenet,4,GPU,,,,,
Squeezenet,5,GPU,,,,,
Squeezenet,6,GPU,,,,,
Squeezenet,7,GPU,,,,,
Squeezenet,8,GPU,,,,,
Squeezenet,9,GPU,,,,,
Squeezenet,10,GPU,,,,,
Resnext50,1,GPU,,,,,
Resnext50,2,GPU,,,,,
Resnext50,3,GPU,,,,,
Resnext50,4,GPU,,,,,
Resnext50,5,GPU,,,,,
Resnext50,6,GPU,,,,,
Resnext50,7,GPU,,,,,
Resnext50,8,GPU,,,,,
Resnext50,9,GPU,,,,,
Resnext50,10,GPU,,,,,
Mobilenet,1,GPU,,,,,
Mobilenet,2,GPU,,,,,
Mobilenet,3,GPU,,,,,
Mobilenet,4,GPU,,,,,
Mobilenet,5,GPU,,,,,
Mobilenet,6,GPU,,,,,
Mobilenet,7,GPU,,,,,
Mobilenet,8,GPU,,,,,
Mobilenet,9,GPU,,,,,
Mobilenet,10,GPU,,,,,
